safename	symbol	note
bitcoin-lightning	BTCL	Changed from BTL (clashes with Bloom)
cpchain	CPCHAIN	Changed from CPC (clashes with Capricoin)
health-mutual-society	HMSC	Changed from HMC (clashes with HarmonyCoin)
blazecoin	BLAZE	Changed from BLZ (clashes with Bluzelle)
polcoin	POLCOIN	Changed from PLC (clashes with PlusCoin)
hi-mutual-society	HIMUTUAL	Changed from HMC (clashes with HarmonyCoin)
acchain	ACCHAIN	Changed from ACC (clashes with Accelerator Network)
hydro-protocol	HYDRO	Changed from HOT (clashes with Holo)
hydrogen	HYDROGEN	Changed from HYDRO (clashes with Hydro Protocol)
blocklancer	BLOCKLANCER	Changed from LNC (clashes with Linker Coin)
crowdcoin	CROWD	Changed from CRC (clashes with CryCash)
red	RED2	Changed from RED (clashes with RedCoin)
edrcoin	EDRCOIN	Changed from EDR (clashes with E-Dinar Coin)
endor-protocol	ENDOR	Changed from EDR (clashes with E-Dinar Coin)
spindle	SPINDLE	Changed from SPD (clashes with Stipend)
key	KEY2	Changed from KEY (clashes with Selfkey)
pixie-coin	PIXIE	Changed from PXC (clashes with Phoenixcoin)
hero	HERO2	Changed from HERO (clashes with Sovereign Hero)
aston	ASTON	Changed from ATX (clashes with Artex Coin)
contentbox	CONTENTBOX	Changed from BOX (clashes with BOX Token)
karma-eos	KARMAEOS	Changed from KARMA (clashes with Karmacoin)
evencoin	EVENCOIN	Changed from EVN (clashes with Envion)
cashbery-coin	CASHBERY	Changed from CBC (clashes with CashBet Coin)
mtc-mesh-network	MTCMESH	Changed from MTC (clashes with doc.com Token)
webchain	WEBCHAIN	Changed from WEB (clashes with Webcoin)
first-bitcoin	FIRSTBIT	Changed from BIT
bitmoney	BITMONEY	Changed from BIT
parkgene	PARKGENE	Changed from GENE
bitblocks	BITBLOCKS	Changed from BBK
bitcoin-x	BTCX	Changed from BTX
cryptosoul	CRYPTOSOUL	Changed from SOUL
iqcash	IQCASH	Changed from IQ
altcoin-alt	ALTCOIN	Changed from ALT
cyber-movie-chain	CMOVCT	Changed from CMCT
bitstar	BITSTAR	Changed from BITS
bitcoinus	BITCOINUS	Changed from BITS
netkoin	NETKOIN	Changed from NTK
bitbar	BITBAR	Changed from BTB
mithril-ore	MITHRIL	Changed from MORE
knekted	KNEKTED	Changed from KNT
tittiecoin	TITTIE	Changed from TTC
ratecoin	RATE	Changed from XRA
harvest-masternode-coin	HARVEST	Changed from HC
arbit	ARBIT	Changed from ARB
royal-kingdom-coin	ROYALKC	Changed from RKC
project-pai	PROJPAI	Changed from PAI
ong	ONGCOIN	Changed from ONG
digifinextoken	DIGIFINEX	Changed from DFT
themis	THEMIS	Changed from GET
stockchain	STOCKCHAIN	Changed from SCC
parkingo	PARKINGO	Changed from GOT
social-lending-token	SOCLEND	Changed from SLT
ors-group	ORSGROUP	Changed from ORS
excaliburcoin	EXCALIBUR	Changed from EXC
centaure	CENTAURE	Changed from CEN
fcoin-token	FCOIN	Changed from FT
aware	AWARE	Changed from AT
playcoin	PLYQRC20	Changed from PLY
		Changed from 
		Changed from 
		Changed from 
		Changed from 
		Changed from 
		Changed from 
