code	name	safename
LOKI	Loki	loki
XDN	DigitalNote	digitalnote
CPT	Cryptaur	cryptaur
XET	ETERNAL TOKEN	eternal-token
LEND	ETHLend	ethlend
ATX	Aston	aston
SLS	SaluS	salus
BAY	BitBay	bitbay
BAX	BABB	babb
PRO	Propy	propy
MOC	Moss Coin	moss-coin
APL	Apollo Currency	apollo-currency
POA	POA Network	poa-network
PHX	Red Pulse Pho...	red-pulse
NIX	NIX	nix
LRN	Loopring [NEO]	loopring-neo
LEO	LEOcoin	leocoin
MED	MediBloc [QRC20]	medibloc
VEE	BLOCKv	blockv
TKN	TokenCard	tokencard
PAT	Patron	patron
DEW	DEW	dew
BLOCK	Blocknet	blocknet
TRIO	Tripio	tripio
BZNT	Bezant	bezant
FTM	Fantom	fantom
JNT	Jibrel Network	jibrel-network
TDP	TrueDeck	truedeck
LOC	LockTrip	lockchain
QNTU	Quanta Utilit...	quanta-utility-token
ECOREAL	Ecoreal Estate	ecoreal-estate
RTH	Rotharium	rotharium
KEY	Selfkey	selfkey
INS	Insolar	insolar
DEC	Darico Ecosys...	darcio-ecosystem-coin
RCN	Ripio Credit ...	ripio-credit-network
STQ	Storiqa	storiqa
LCC	Litecoin Cash	litecoin-cash
BBR	Boolberry	boolberry
MOD	Modum	modum
DTA	DATA	data
CAS	Cashaa	cashaa
WABI	WaBi	wabi
SCRL	SCRL	scroll
VIA	Viacoin	viacoin
SNGLS	SingularDTV	singulardtv
WINGS	Wings	wings
ZCL	ZClassic	zclassic
NGC	NAGA	naga
MET	Metronome	metronome
NEU	Neumark	neumark
TMC	Timicoin	timicoin
WPR	WePower	wepower
XSN	Stakenet	stakenet
COSM	Cosmo Coin	cosmo-coin
COV	Covesting	covesting
LGO	LGO Exchange	legolas-exchange
CDT	Blox	blox
VIBE	VIBE	vibe
AUTO	Cube	cube
ITC	IoT Chain	iot-chain
LYL	LoyalCoin	loyalcoin
ZRC	ZrCoin	zrcoin
CHX	Own	own
RFR	Refereum	refereum
DNT	district0x	district0x
MOBI	Mobius	mobius
ADX	AdEx	adx-net
TTC	TTC Protocol	ttc-protocol
CSC	CasinoCoin	casinocoin
ECA	Electra	electra
MDS	MediShares	medishares
PASC	Pascal Coin	pascal-coin
XBY	XTRABYTES	xtrabytes
ACT	Achain	achain
PAI	PCHAIN	pchain
ETA	Etheera	etheera
SOC	All Sports	all-sports
BITUSD	bitUSD	bitusd
XHV	Haven Protocol	haven-protocol
GIN	GINcoin	gincoin
XCP	Counterparty	counterparty
XAS	Asch	asch
CLOAK	CloakCoin	cloakcoin
AU	AurumCoin	aurumcoin
BCI	Bitcoin Interest	bitcoin-interest
DIG	Dignity	dignity
REPO	REPO	repo
KAN	BitKan	bitkan
EDG	Edgeless	edgeless
EVN	Envion	envion
MTC	doc.com Token	doc-com-token
IOG	Playgroundz	playgroundz
CNN	Content Neutr...	content-neutrality-network
COSS	COSS	coss
TNT	Tierion	tierion
VITE	VITE	vite
QBIT	Qubitica	qubitica
B2B	B2BX	b2bx
EVR	Everus	everus
HYDRO	Hydro	hydrogen
EOSDAC	eosDAC	eosdac
CLAM	Clams	clams
TRAC	OriginTrail	origintrail
HUM	Humanscape	humanscape
LYM	Lympo	lympo
MER	Mercury	mercury
TTU	TaTaTu	tatatu
DERO	Dero	dero
QLC	QLC Chain	qlink
DOCK	Dock	dock
GNX	Genaro Network	genaro-network
INT	Internet Node...	internet-node-token
SPANK	SpankChain	spankchain
XDCE	XinFin Network	xinfin-network
FOTA	Fortuna	fortuna
IHT	IHT Real Esta...	iht-real-estate-protocol
HPC	Happycoin	happycoin
PST	Primas	primas
XPM	Primecoin	primecoin
UPP	Sentinel Prot...	sentinel-protocol
FUEL	Etherparty	etherparty
MSP	Mothership	mothership
TIX	Blocktix	blocktix
XLQ	ALQO	alqo
GTC	Game.com	game
BTX	Bitcore	bitcore
AST	AirSwap	airswap
HORUS	HorusPay	horuspay
META	Metadium	metadium
NMC	Namecoin	namecoin
BTO	Bottos	bottos
SPHTX	SophiaTX	sophiatx
BITG	Bitcoin Green	bitcoin-green
MWAT	Restart Energ...	restart-energy-mwat
EVX	Everex	everex
VIB	Viberate	viberate
ION	ION	ion
DBC	DeepBrain Chain	deepbrain-chain
UTNP	Universa	universa
YOYOW	YOYOW	yoyow
BWK	Bulwark	bulwark
XTO	Tao	tao
LINDA	Linda	linda
PPY	Peerplays	peerplays-ppy
AEON	Aeon	aeon
MLN	Melon	melon
ADT	adToken	adtoken
COB	Cobinhood	cobinhood
GAME	GameCredits	gamecredits
NPX	NaPoleonX	napoleonx
PRE	Presearch	presearch
INK	Ink	ink
SEELE	Seele	seele
$PAC	PACcoin	paccoin
APPC	AppCoins	appcoins
CPC	CPChain	cpchain
DCT	DECENT	decent
ROX	Robotina	robotina
LBC	LBRY Credits	library-credit
AVA	Travala	travala
VIPS	Vipstar Coin	vipstar-coin
MTH	Monetha	monetha
FTC	Feathercoin	feathercoin
CPX	Apex	apex
MNX	MinexCoin	minexcoin
DAPS	DAPS Token	daps-token
PLBT	Polybius	polybius
INO	INO COIN	ino-coin
NKN	NKN	nkn
RBLX	Rublix	rublix
BIS	Bismuth	bismuth
TFD	TE-FOOD	te-food
BZ	Bit-Z Token	bit-z-token
SWFTC	SwftCoin	swftcoin
XP	Experience Po...	experience-points
LUN	Lunyr	lunyr
IMT	Moneytoken	moneytoken
HTML	HTMLCOIN	html-coin
HVN	Hiveterminal ...	hiveterminal-token
TUBE	BitTube	bit-tube
TERN	Ternio	ternio
SKB	Sakura Bloom	sakura-bloom
ATN	ATN	atn
SHIFT	Shift	shift
ECC	ECC	eccoin
TOA	ToaCoin	toacoin
UKG	Unikoin Gold	unikoin-gold
KICK	KickCoin	kickico
ZCN	0chain	0chain
AVINOC	AVINOC	avinoc
HAV	Havven	havven
GCR	Global Curren...	global-currency-reserve
CLO	Callisto Network	callisto-network
LA	LATOKEN	latoken
XAUR	Xaurum	xaurum
PEPECASH	Pepe Cash	pepe-cash
PBT	Primalbase Token	primalbase
NANJ	NANJCOIN	nanjcoin
ARN	Aeron	aeron
GRFT	Graft	graft
BWT	Bittwatt	bittwatt
SCR	Scorum Coins	scorum-coins
RVR	RevolutionVR	revolutionvr
DIME	Dimecoin	dimecoin
BCPT	BlockMason Cr...	blockmason
ZP	Zen Protocol	zen-protocol
BCAC	Business Cred...	business-credit-alliance-chain
DLT	Agrello	agrello-delta
BEZ	Bezop	bezop
DBET	DecentBet	decent-bet
ROCK2	ICE ROCK MINING	ice-rock-mining
BLT	Bloom	bloomtoken
PHR	Phore	phore
MRK	MARK.SPACE	mark-space
ZPT	Zeepin	zeepin
SPD	SPINDLE	spindle
SDA	Six Domain Chain	six-domain-chain
DMD	Diamond	diamond
SPC	SpaceChain	spacechain
HMC	Hi Mutual Soc...	hi-mutual-society
CHSB	SwissBorg	swissborg
DIVI	Divi	divi
HST	Decision Token	decision-token
KARMA	KARMA	karma-eos
SEN	Consensus	consensus
DPY	Delphy	delphy
SWTH	Switcheo	switcheo
DADI	DADI	dadi
SINS	SafeInsure	safeinsure
BKX	BANKEX	bankex
BMC	Blackmoon	blackmoon
HLC	HalalChain	halalchain
BLK	BlackCoin	blackcoin
LUX	LUXCoin	luxcoin
BITB	Bean Cash	bean-cash
QUN	QunQun	qunqun
XEL	XEL	xel
LINA	Lina	lina
ZCO	Zebi	zebi
CEEK	CEEK VR	ceek-vr
BCA	Bitcoin Atom	bitcoin-atom
CRW	Crown	crown
DGX	Digix Gold Token	digix-gold-token
LIF	Winding Tree	winding-tree
RMT	SureRemit	sureremit
BBK	Brickblock	brickblock
EKT	EDUCare	educare
XMY	Myriad	myriad
ELEC	Electrify.Asia	electrifyasia
1ST	FirstBlood	firstblood
DCC	Distributed C...	distributed-credit-chain
DX	DxChain Token	dxchain-token
TAU	Lamden	lamden
MOT	Olympus Labs	olympus-labs
EDN	Eden	eden
ANC	Anoncoin	anoncoin
EBC	EBCoin	ebcoin
NMR	Numeraire	numeraire
UUU	U Network	u-network
FLO	FLO	flo
OAX	OAX	oax
FTI	FansTime	fanstime
LQD	Liquidity Net...	liquidity-network
PCL	Peculium	peculium
POT	PotCoin	potcoin
YOC	Yocoin	yocoin
GET	GET Protocol	get-protocol
AURA	Aurora DAO	aurora-dao
POLIS	Polis	polis
IVY	Ivy	ivy
THC	HempCoin	hempcoin
DATX	DATx	datx
YEED	YGGDRASH	yeed
RISE	Rise	rise
COLX	ColossusXT	colossusxt
COIN	Coinvest	coinvest
BET	DAO.Casino	dao-casino
BRM	BrahmaOS	brahmaos
YEE	YEE	yee
CHAT	ChatCoin	chatcoin
DIM	DIMCOIN	dimcoin
SUQA	SUQA	suqa
AXPR	aXpire	axpire
LET	LinkEye	linkeye
GRC	GridCoin	gridcoin
CSNO	BitDice	bitdice
BTT	Blocktrade Token	blocktrade-token
CVN	CVCoin	cvcoin
BRZC	Breezecoin	breezecoin
FXT	FuzeX	fuzex
MUE	MonetaryUnit	monetaryunit
HSC	HashCoin	hashcoin
CV	carVertical	carvertical
LCS	LocalCoinSwap	local-coin-swap
SOUL	Phantasma	phantasma
RADS	Radium	radium
NCC	NeuroChain	neurochain
REM	Remme	remme
ATCC	ATC Coin	atc-coin
NIM	Nimiq	nimiq
BOX	ContentBox	contentbox
NCT	PolySwarm	polyswarm
OWN	OWNDATA	owndata
FLASH	Flash	flash
BWX	Blue Whale Token	blue-whale-token
NBC	Niobium Coin	niobium-coin
XMX	XMax	xmax
MLM	MktCoin	mktcoin
SNET	Snetwork	snetwork
UP	UpToken	uptoken
SENT	Sentinel	sentinel
UT	Ulord	ulord
CXO	CargoX	cargox
XSPEC	Spectrecoin	spectrecoin
BBC	TraDove B2BCoin	b2bcoin
AIDOC	AI Doctor	aidoc
BPT	Blockport	blockport
GSC	Global Social...	global-social-chain
DICE	Etheroll	etheroll
IOC	I/O Coin	iocoin
DOV	Dovu	dovu
DACS	DACSEE	dacsee
ONION	DeepOnion	deeponion
SIX	SIX	six
PCH	POPCHAIN	popchain
ZPR	ZPER	zper
HOT	Hydro Protocol	hydro-protocol
VRC	VeriCoin	vericoin
XBI	Bitcoin Incog...	bitcoin-incognito
ART	Maecenas	maecenas
PAL	Pal Network	pal-network
TMT	TRAXIA	traxia
BDT	BDT Token	bdt-token
THR	ThoreCoin	thorecoin
BOT	Bodhi	bodhi
TAAS	TaaS	taas
MGD	MassGrid	massgrid
PURA	Pura	pura
SKM	Skrumble Network	skrumble-network
CZR	CanonChain	cononchain
LND	Lendingblock	lendingblock
XRA	Xriba	xriba
DOT	Dotcoin	dotcoin
INCNT	Incent	incent
AMLT	AMLT	amlt
HWC	HollyWoodCoin	hollywoodcoin
EXC	Eximchain	eximchain
KRM	Karma	karma
MINT	MintCoin	mintcoin
PAYX	Paypex	paypex
IFOOD	Ifoods Chain	ifoods-chain
MRPH	Morpheus.Network	morpheus-network
OMX	Shivom	shivom
UDOO	Howdoo	howdoo
ZEL	ZelCash	zelcash
XPA	XPA	xpa
UBT	Unibright	unibright
RSTR	Ondori	ondori
CARD	Cardstack	cardstack
WSX	WeAreSatoshi	wearesatoshi
GOT	GoNetwork	gonetwork
DRT	DomRaider	domraider
STK	STK	stk
SNC	SunContract	suncontract
FTT	FarmaTrust	farmatrust
COVAL	Circuits of V...	circuits-of-value
PGT	Puregold Token	puregold-token
OCT	OracleChain	oraclechain
BIR	Birake	birake
TOL	Tolar	tolar
UBEX	Ubex	ubex
ZMN	ZMINE	zmine
VIN	VINchain	vinchain
MAS	MidasProtocol	midasprotocol
ERO	Eroscoin	eroscoin
CMCT	Crowd Machine	crowd-machine
AMP	Synereo	synereo
MOL	Molecule	molecule
PYN	PAYCENT	paycent
HKN	Hacken	hacken
SS	Sharder	sharder
DTB	Databits	databits
DAG	Constellation	constellation
TTT	TrustNote	trustnote
APX	APX	apx
XTL	Stellite	stellite
IXT	IXT	ixledger
HMQ	Humaniq	humaniq
KCASH	Kcash	kcash
MUSIC	Musicoin	musicoin
ZSC	Zeusshield	zeusshield
BMX	BitMart Token	bitmart-token
XNK	Ink Protocol	ink-protocol
ABL	Airbloc	airbloc
DEV	DeviantCoin	deviantcoin
EXRN	EXRNchain	exrnchain
AUR	Auroracoin	auroracoin
PEDI	Pedity	pedity
SSP	Smartshare	smartshare
BANCA	Banca	banca
WCT	Waves Communi...	waves-community-token
ESN	Ethersocial	ethersocial
NYC	NewYorkCoin	newyorkcoin
EXY	Experty	experty
MITX	Morpheus Labs	morpheus-labs
ECOM	Omnitude	omnitude
NTK	Neurotoken	neurotoken
1WO	1World	1world
PSM	PRASM	prasm
XST	Stealth	stealth
MSR	Masari	masari
GEM	Gems 	gems-protocol
OMNI	Omni	omni
UCASH	UNIVERSAL CASH	ucash
DAX	DAEX	daex
STAR	Starbase	starbase
GENE	Gene Source C...	gene-source-code-chain
VLD	Vetri	vetri
DBIX	DubaiCoin	dubaicoin-dbix
BBN	Banyan Network	banyan-network
EGT	Egretia	egretia
VEX	Vexanium	vexanium
DNA	EncrypGen	encrypgen
OPTI	OptiToken	optitoken
UGC	ugChain	ugchain
CBC	CashBet Coin	cashbet-coin
RET	RealTract	realtract
XSH	SHIELD	shield-xsh
CAPP	Cappasity	cappasity
WIRE	AirWire	airwire
MTN	Medicalchain	medical-chain
WTL	Welltrado	welltrado
RMESH	RightMesh	rightmesh
IDH	indaHash	indahash
LXT	Litex	litex
FLIXX	Flixxo	flixxo
BOXX	BOXX Token [B...	boxx-token-blockparty
FLP	FLIP	flip
NUSD	nUSD	nusd
DAV	DAV Coin	dav-coin
TNC	Trinity Netwo...	trinity-network-credit
TFL	TrueFlip	trueflip
EKO	EchoLink	echolink
HLM	Helium	helium
WAB	WABnetwork	wabnetwork
CAG	Change	change
NKC	Nework	nework
GUP	Matchpool	guppy
GBX	GoByte	gobyte
BSD	BitSend	bitsend
SLR	SolarCoin	solarcoin
CBT	CommerceBlock	commerceblock
SXUT	Spectre.ai Ut...	spectre-utility
ONL	On.Live	on-live
TIME	Chronobank	chronobank
KIND	Kind Ads Token	kind-ads-token
ZEPH	Zephyr	zephyr
RLX	Relex	relex
ORME	Ormeus Coin	ormeus-coin
XLR	Solaris	solaris
CHP	CoinPoker	coinpoker
NVC	Novacoin	novacoin
GEN	DAOstack	daostack
EFX	Effect.AI	effect-ai
ALIS	ALIS	alis
TRTL	Turtlecoin	turtlecoin
ETK	EnergiToken	energitoken
NOTE	DNotes	dnotes
0xBTC	0xBitcoin	0xbtc
SEQ	Sequence	sequence
MIB	MIB Coin	mib-coin
GARD	Hashgard	hashgard
SHIP	ShipChain	shipchain
NLC2	NoLimitCoin	nolimitcoin
PIRL	Pirl	pirl
SSC	SelfSell	selfsell
ABYSS	The Abyss	the-abyss
QWARK	Qwark	qwark
SNTR	Silent Notary	silent-notary
CST	Cryptosolartech	cryptosolartech
GOLOS	Golos	golos
DEB	Debitum	debitum-network
FMF	Formosa Finan...	formosa-financial
CAN	CanYaCoin	canyacoin
BITX	BitScreener T...	bitscreener-token
BERRY	Rentberry	rentberry
AVT	Aventus	aventus
RED	RED	red
PTOY	Patientory	patientory
TTV	TV-TWO	tv-two
GEO	GeoCoin	geocoin
OLT	OneLedger	oneledger
FLDC	FoldingCoin	foldingcoin
TSL	Energo	energo
DXT	Datawallet	datawallet
QBT	Qbao	qbao
DAT	Datum	datum
ONE	Menlo One	menlo-one
RNTB	BitRent	bitrent
VZT	Vezt	vezt
OK	OKCash	okcash
CEN	Coinsuper Eco...	coinsuper-ecosystem-network
GTM	Gentarium	gentarium
NIO	Autonio	autonio
SIB	SIBCoin	sibcoin
MLC	Mallcoin	mallcoin
SWT	Swarm City	swarm-city
MVP	Merculet	merculet
ZAP	Zap	zap
RTE	Rate3	rate3
IPL	VouchForMe	insurepal
TRST	WeTrust	trust
SPHR	Sphere	sphere
EXP	Expanse	expanse
AC3	AC3	ac3
MDT	Measurable Da...	measurable-data-token
POLL	ClearPoll	clearpoll
FDZ	Friendz	friends
ABY	ArtByte	artbyte
LPC	Lightpaycoin	lightpaycoin
ABX	Arbidex	arbidex
KWATT	4NEW	4new
CPC	Capricoin	capricoin
SCC	SiaCashCoin	siacashcoin
OXY	Oxycoin	oxycoin
LEV	Leverj	leverj
42	42-coin	42-coin
LGS	LogisCoin	logiscoin
SNOV	Snovian.Space	snovio
FOXT	Fox Trading	fox-trading
ALI	AiLink Token	ailink-token
SIC	Swisscoin	swisscoin
VITES	Vites	vites
TIC	Thingschain	thingschain
UQC	Uquid Coin	uquid-coin
AAC	Acute Angle C...	acute-angle-cloud
ATMI	Atonomi	atonomi
TRXC	TRONCLASSIC	tronclassic
HER	HeroNode	heronode
TKS	Tokes	tokes
AID	AidCoin	aidcoin
KB3	B3Coin	b3coin
FREE	FREE Coin	free-coin
LIFE	LIFE	life
EVN	EvenCoin	evencoin
ARO	Arionum	arionum
ADST	AdShares	adshares
DYN	Dynamic	dynamic
2GIVE	2GIVE	2give
PKC	PikcioChain	pikciochain
REBL	REBL	rebl
JSE	JSECOIN	jsecoin
INXT	Internxt	internxt
HQX	HOQU	hoqu
UFR	Upfiring	upfiring
BETR	BetterBetting	betterbetting
ACAT	Alphacat	alphacat
FTX	FintruX Network	fintrux-network
INSTAR	Insights Network	insights-network
BOB	Bob&#39;s Repair	bobs-repair
FORK	Forkcoin	forkcoin
TRF	Travelflex	travelflex
ALX	ALAX	alax
ICR	InterCrone	intercrone
LATX	LatiumX	latiumx
PINK	PinkCoin	pinkcoin
ADB	adbank	adbank
XBC	Bitcoin Plus	bitcoin-plus
SHND	StrongHands	stronghands
CBC	Cashbery Coin	cashbery-coin
QCH	QChi	qchi
INV	Invacio	invacio
WRC	Worldcore	worldcore
CPLO	Cpollo	cpollo
J8T	JET8	jet8
LEDU	Education Eco...	education-ecosystem
EUNO	EUNO	euno
PNK	Kleros	kleros
OLE	Olive	olive
CLN	Colu Local Ne...	colu-local-network
SYNX	Syndicate	syndicate
NPER	NPER	nper
IOP	Internet of P...	internet-of-people
PKT	Playkey	playkey
LTHN	Lethean	lethean
XHI	HiCoin	hicoin
EVE	Devery	devery
ATL	ATLANT	atlant
SENSE	Sense	sense
1337	Elite	1337coin
BTCZ	BitcoinZ	bitcoinz
STX	Stox	stox
ZLA	Zilla	zilla
DAGT	Digital Asset...	digital-asset-guarantee-token
GAT	Global Awards...	global-awards-token
MYB	MyBit	mybit
ZER	Zero	zero
UCN	UChain	uchain
BETHER	Bethereum	bethereum
LIKE	LikeCoin	likecoin
KORE	Kore	korecoin
PRA	ProChain	prochain
EXCL	ExclusiveCoin	exclusivecoin
SEND	Social Send	social-send
SPRTS	Sprouts	sprouts
NEOS	NeosCoin	neoscoin
LOG	Woodcoin	woodcoin
MASH	MASTERNET	masternet
HB	HeartBout	heartbout
DTH	Dether	dether
SKIN	SkinCoin	skincoin
TAC	Traceability ...	traceability-chain
HXX	Hexx	hexx
MTX	Matryx	matryx
NBR	Niobio Cash	niobio-cash
VRS	Veros	veros
SEAL	Seal Network	seal-network
INVE	InterValue	intervalue
TRAK	TrakInvest	trakinvest
BLUE	Blue Protocol	ethereum-blue
PLAY	HEROcoin	herocoin
HOLD	HOLD	hold
CTC	Credit Tag Chain	credit-tag-chain
PRIX	Privatix	privatix
UBC	Ubcoin Market	ubcoin-market
BCY	BitCrystals	bitcrystals
CCCX	Clipper Coin	clipper-coin
IFT	InvestFeed	investfeed
EVC	EventChain	eventchain
CAT	BitClave	bitclave
PUT	Profile Utili...	profile-utility-token
ERT	Eristica	eristica
OTN	Open Trading ...	open-trading-network
FACE	Faceter	faceter
SENC	Sentinel Chain	sentinel-chain
RPM	Repme	repme
EDRC	EDRCoin	edrcoin
ARY	Block Array	block-array
RYO	Ryo Currency	ryo-currency
AIT	AICHAIN	aichain
DAN	Daneel	daneel
GLD	GoldCoin	goldcoin
THRT	Thrive Token	thrive-token
BELA	Bela	belacoin
PHI	PHI Token	phi-token
GLA	Gladius Token	gladius-token
PARETO	Pareto Network	pareto-network
W3C	W3Coin	w3coin
BNTY	Bounty0x	bounty0x
MEME	Memetic / Pep...	memetic
TIPS	FedoraCoin	fedoracoin
TGAME	Truegame	tgame
IETH	iEthereum	iethereum
COFI	CoinFi	coinfi
PRG	Paragon	paragon
AKA	Akroma	akroma
STU	bitJob	student-coin
IDXM	IDEX Membership	idex-membership
VULC	VULCANO	vulcano
VRM	VeriumReserve	veriumreserve
TRC	Terracoin	terracoin
